ID	Function_ID
4202640	_init
4202672	.plt
4202720	free@plt
4202784	__errno_location@plt
4202832	strncmp@plt
4202928	isatty@plt
4202992	fcntl@plt
4203008	write@plt
4203104	strlen@plt
4203152	getuid@plt
4203168	strchr@plt
4203216	strrchr@plt
4203264	memset@plt
4203280	geteuid@plt
4203376	close@plt
4203456	memchr@plt
4203472	read@plt
4203488	__libc_start_main@plt
4203504	memcmp@plt
4203536	calloc@plt
4203568	__fxstat64@plt
4203616	__memcpy_chk@plt
4203728	memcpy@plt
4203744	__sysv_signal@plt
4203792	time@plt
4203824	getgid@plt
4203872	malloc@plt
4203920	getegid@plt
4203984	realloc@plt
4204064	__longjmp_chk@plt
4204080	open64@plt
4204096	memmove@plt
4204272	exit@plt
4204304	lseek64@plt
4204416	__sigsetjmp@plt
4205823	S_checkcomma
4208195	S_force_word
4208749	S_lop
4210384	main
4210672	_start
4210720	deregister_tm_clones
4210784	register_tm_clones
4210848	__do_global_dtors_aux
4210880	frame_dummy
4211648	Perl_av_extend_guts
4212144	Perl_av_extend
4212336	Perl_av_store
4213648	Perl_av_fetch
4214352	Perl_av_clear
4214896	Perl_av_push
4219872	Perl_set_caret_X
4234000	Perl_do_print
4288416	S_gv_init_svtype
4288896	Perl_gv_add_by_type
4289312	Perl_newGP
4289728	Perl_cvgv_set
4292448	Perl_gv_name_set
4292736	Perl_gv_init_pvn
4299360	Perl_gv_fetchpvn_flags
4305952	S_gv_stashsvpvn_cached.part.2
4306672	Perl_gv_stashsv
4306800	S_gv_fetchmeth_internal
4308880	Perl_gv_fetchmeth_pvn_autoload
4309824	Perl_gv_fetchpv
4309968	Perl_gv_fetchsv
4322272	Perl_gv_fetchfile
4324944	Perl_gv_try_downgrade
4325712	S_hv_auxinit
4326064	S_hsplit
4326720	S_share_hek_flags
4327120	S_unshare_hek_or_pvn
4328784	Perl_hv_ksplit
4332432	Perl_hv_common
4337184	Perl_hv_common_key_len
4338240	Perl_newHVhv
4344368	Perl_hv_clear
4345824	Perl_hfree_next_entry
4346848	Perl_hv_iterinit
4348992	Perl_hv_name_set
4350016	Perl_hv_undef_flags
4354816	Perl_hv_backreferences_p
4355152	Perl_hv_kill_backrefs
4355264	Perl_hv_iternext_flags
4356416	Perl_hv_iterkey
4357504	Perl_unshare_hek
4357808	Perl_share_hek
4361408	Perl_refcounted_he_free
4361792	Perl_refcounted_he_inc
4361808	Perl_cop_fetch_label
4362048	Perl_keyword
4378592	Perl_init_i18nl10n
4379584	S_restore_magic
4379904	Perl_mg_magical
4380640	Perl_mg_set
4381680	Perl_mg_find
4381808	Perl_mg_copy
4391680	Perl_magic_setisa
4409600	Perl_cast_iv
4409728	Perl_cast_uv
4413536	Perl_grok_number_flags
4416560	Perl_grok_number
4419840	Perl_isinfnan
4422368	Perl_ck_null
4422384	S_assignment_type
4423888	S_process_special_blocks.isra.10
4425296	Perl_op_linklist.part.13
4427136	Perl_Slab_Alloc
4427920	Perl_allocmy
4428928	S_op_clear_gv
4429152	Perl_op_clear
4430272	Perl_op_free
4435504	Perl_op_null.part.12
4435648	S_alloc_LOGOP
4436528	S_finalize_op
4437328	Perl_sawparens
4437504	Perl_block_start
4440144	Perl_ck_bitop
4440480	Perl_ck_concat
4440544	Perl_ck_rvconst
4442608	Perl_cv_set_call_checker
4443056	Perl_ck_svconst
4443200	Perl_peep
4444512	Perl_scalarvoid
4446960	Perl_scalar
4448048	Perl_doref.part.17
4449360	Perl_newOP
4449632	Perl_newLISTOP
4450608	Perl_newSVOP
4451312	S_fold_constants
4453056	Perl_newBINOP
4454368	S_scalarseq
4455648	Perl_op_lvalue_flags
4459232	Perl_ck_cmp
4459696	Perl_op_sibling_splice.constprop.38
4460080	Perl_newSTATEOP
