ID	Function_ID
4204360	_init
4204400	.plt
4204448	_ZSt29_Rb_tree_insert_and_rebalancebPSt18_Rb_tree_node_baseS0_RS_@plt
4204672	strlen@plt
4204784	memset@plt
4204896	memcpy@plt
4204912	__cxa_atexit@plt
4204960	_Znwm@plt
4204992	_ZSt18_Rb_tree_decrementPSt18_Rb_tree_node_base@plt
4205248	_ZNSt8ios_base4InitC1Ev@plt
4205488	_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt
4205552	__libc_start_main@plt
4205568	_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE6assignEPKc@plt
4205728	main
4210112	_GLOBAL__sub_I_main
4210160	_GLOBAL__sub_I__ZN9SGFParser14chop_from_fileENSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEi
4210208	_GLOBAL__sub_I__ZN5Utils17input_causes_stopEv
4210256	_GLOBAL__sub_I__ZN9FastBoard9s_eyemaskE
4210304	_GLOBAL__sub_I__ZN7SGFTreeC2Ev
4210352	_GLOBAL__sub_I__ZN3GTP10s_commandsB5cxx11E
4211104	_start
4211216	register_tm_clones
4211312	frame_dummy
4312624	_ZN9FastBoard10get_vertexEii
4312672	_ZN9FastBoard10set_squareEiNS_8square_tE
4312752	_ZN9FastBoard11reset_boardEi
4326912	_ZN9FastBoard13get_extra_dirEi
4331312	_ZN9FastBoard25get_pattern3_augment_specEiib
4365248	_ZN7MatcherC1Ev
4366400	_ZN7Matcher11get_MatcherEv
4366960	_ZNSt6vectorIhSaIhEE14_M_fill_insertEN9__gnu_cxx17__normal_iteratorIPhS1_EEmRKh
4416688	_ZN7Zobrist12init_zobristER6Random
4426784	_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_M_constructIPKcEEvT_S8_St20forward_iterator_tag.isra.74
4426976	_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC2EPKcRKS3_.isra.76
4449008	_ZN6RandomC2Ei
4449248	_ZN6Random6randomEv
4465456	__libc_csu_init
